Frame,Class,Class_ID,X,Y
19,Fredrinn,116,382.606,605.4583
19,Minotaur,18,261.0597,491.015
19,Lapu-Lapu,36,619.2427,689.0696
19,Fanny,16,443.1324,466.4393
19,Claude,64,84.4904,37.4087
19,Masha,87,646.0494,606.9711
19,Valentina,110,342.1204,391.3534
20,Chou,25,446.4863,598.6059
20,Fanny,16,440.6754,468.4447
20,Minotaur,18,259.9645,489.897
20,Novaria,119,291.5326,410.9153
20,Fredrinn,116,384.0664,606.1277
20,Lapu-Lapu,36,618.6738,688.4152
20,Masha,87,644.838,607.5883
20,Claude,64,85.9917,38.8135
20,Valentina,110,341.9318,391.4353
21,Fanny,16,439.1818,470.2093
21,Chou,25,446.6604,598.2569
21,Novaria,119,291.1596,411.2984
21,Fredrinn,116,384.1694,607.6326
21,Minotaur,18,259.5415,489.6553
21,Lapu-Lapu,36,619.584,688.3984
21,Masha,87,644.5773,607.6856
21,Claude,64,86.2315,39.1296
21,Valentina,110,342.0508,391.5119
22,Chou,25,446.7551,598.3032
22,Fanny,16,438.1005,471.4589
22,Novaria,119,290.8992,411.4357
22,Fredrinn,116,384.214,607.4928
22,Minotaur,18,259.5515,489.2206
22,Lapu-Lapu,36,619.5259,688.043
22,Masha,87,644.634,607.5762
22,Claude,64,86.2452,39.0588
22,Valentina,110,341.9469,391.524
23,Chou,25,446.8742,598.3591
23,Fanny,16,435.218,475.3174
23,Fredrinn,116,385.9718,607.3572
23,Novaria,119,289.8736,411.5988
23,Masha,87,643.5236,607.7822
23,Minotaur,18,259.2467,487.5546
23,Lapu-Lapu,36,619.0274,687.6403
23,Valentina,110,341.5368,391.471
23,Claude,64,87.1022,39.8908
24,Fredrinn,116,387.5932,607.5836
24,Chou,25,448.0475,598.0695
24,Masha,87,641.2972,607.7588
24,Novaria,119,287.8928,411.0899
24,Minotaur,18,259.5047,486.7074
24,Fanny,16,432.9981,478.089
24,Lapu-Lapu,36,617.6883,687.6031
24,Valentina,110,341.5988,391.3831
24,Claude,64,87.6011,40.4746
25,Masha,87,641.1117,607.6752
25,Chou,25,447.9738,598.1349
25,Fredrinn,116,387.662,607.5246
25,Minotaur,18,259.5418,486.276
25,Novaria,119,287.8737,411.1498
25,Lapu-Lapu,36,617.7057,687.7436
25,Fanny,16,432.6909,477.9678
25,Valentina,110,341.6951,391.3021
25,Claude,64,87.6771,40.0911
26,Masha,87,640.276,607.7055
26,Chou,25,448.7672,597.8756
26,Fredrinn,116,388.2045,607.8864
26,Fanny,16,432.3654,479.2632
26,Minotaur,18,259.7394,485.625
26,Valentina,110,341.7944,391.5615
26,Novaria,119,286.7325,410.9758
26,Lapu-Lapu,36,617.5992,687.1726
26,Claude,64,87.8444,40.1127
27,Masha,87,638.8171,607.0142
27,Fanny,16,430.8724,480.8205
27,Chou,25,449.9164,598.2298
27,Novaria,119,286.9912,411.5428
27,Fredrinn,116,389.3705,607.8182
27,Minotaur,18,260.1746,485.0012
27,Valentina,110,342.6387,391.5456
27,Lapu-Lapu,36,616.5578,687.0593
27,Claude,64,89.3581,39.6442
28,Valentina,110,343.5782,391.7113
28,Masha,87,637.8912,607.5438
28,Fanny,16,428.9925,483.5264
28,Novaria,119,286.354,412.3493
28,Fredrinn,116,390.2796,606.905
28,Chou,25,450.6269,598.2072
28,Minotaur,18,260.667,484.0789
28,Lapu-Lapu,36,614.7802,687.7043
28,Claude,64,90.3446,42.2906
29,Valentina,110,343.82,391.6227
29,Masha,87,637.3257,607.721
29,Novaria,119,285.6161,412.5751
29,Chou,25,450.671,598.1285
29,Fanny,16,427.1947,485.0572
29,Fredrinn,116,390.2891,606.8286
29,Minotaur,18,261.2979,483.7035
29,Lapu-Lapu,36,613.8441,688.0575
29,Claude,64,90.063,42.1745
30,Valentina,110,344.5109,391.8607
30,Fanny,16,425.1515,486.9774
30,Novaria,119,284.9819,412.8333
30,Fredrinn,116,392.7766,607.0995
30,Masha,87,637.0584,608.1377
30,Lapu-Lapu,36,613.3277,687.9928
